text	label
bungled its dealings	0
any sort of logical	0
axis of evil	0
unfortunately	0
made reckless threats	0
condemned	0
denunciation	0
took tolls of women and children	0
is not justified	0
to protest	0
a world already complicated	0
axis of evil	0
should welcome	1
a window to the world	1
was offended	0
unjust	0
legitimate	1
the most serious	0
ill - treatment	0
trying to move the goal posts	0
like clinton	0
with their own agenda against	0
lacked conclusiveness and were not operational	0
on the rubble of the legitimate palestinian rights	0
massive potential market	1
into submission	0
war maniacs	0
alone	0
so - called	0
compatriots	0
warning	0
power at all costs	0
collapse from within	0
great importance	1
were also uncertain	0
abandoned	0
fearing	0
it violates the rule of law	0
insisted	0
openly declared	0
misguided	0
it 's hard to imagine	0
called for	1
at the severe end	0
has offered unequivocal political support	1
wants	1
when its head is the queen	0
humanely	1
what could be worse	0
issued the fatwa	0
the hope	1
importance of	1
wariness	0
has not failed	1
banned	0
broader cooperation	1
criticised	0
voiced its protest	0
the protest	0
intends to	0
meddling	0
threatening long - held human rights principles	0
maintains the commonwealth 's credibility	1
perp pal	0
wants	1
violator of human rights	0
had nothing to do	0
appealed	1
an ability to look decades ahead and not let oneself get beaten down	1
strategic importance	1
revolted	0
old bullying	0
basic doubts	0
wants	1
open to widespread abuse	0
pure fiction	0
is threatening	0
trust	1
hate	0
it is ineffective	0
will be able to handle any kind of incident	1
seeking	1
the criticisms	0
warning	0
is also working to push	0
`world judge of human rights '	0
repeatedly suggested	1
was especially satisfied	1
to accept	1
has lashed out	0
occupy palestinian cities	0
refuses	0
have criticized	0
the suggestions of	1
beneficial	1
unlawful combatants , not pows	0
good	1
do not recognise	0
little more than	0
cowed	0
testimony of the confidence and high esteem	1
uphold	1
a staunch ally	1
best news	1
is advocating	0
willing	1
hope	1
been approved	1
has called for	1
committed one more mistake	0
know	0
no to peace	0
want to help	1
well - respected	1
imperialism is the source of war	0
so - called	0
oppression	0
healthy	1
bring the government down in turmoil	0
help of the almighty god	1
indeed the ring leader and empire of evil	0
those who seek to attack and destroy law and order and legitimate government	0
in a state of war	0
takes into consideration	1
the axis of evil	0
so - called	0
convenient electoral tool	0
constant aggressive attitude	0
not satellites	0
stolen	0
do n't think	0
under the pretext of the fight against terrorism	0
manipulation	0
unprecedented	0
expressed active support	1
given evidence to prove	0
instead	0
resorting to	0
lost ground	0
horrifies	0
little one can do about it	0
repeated its allegations	0
fervently escalates a campaign of bludgeoning its citizens	0
calls for	1
unworkable	0
heightened concern	0
kick chavez out of power	0
are committed	1
interfere	0
are frequently embraced	1
sensible , serious voice in cabinet	1
will act very responsibly	1
rejection	0
policies	1
one of the greatest problems	0
turned out to be a fair - weather friend	0
obsession with	0
succeeded in achieving	0
us supremacy	0
where the hell it is	0
hospitality ends there	0
were suffering	0
dissatisfaction	0
to deny	0
to promote	1
good excuse	0
a much better position	1
the rule of law is under fire	0
almost grotesquely	0
vicious battles	0
the importance	1
because of the legal nuances	0
in a flurry	0
swapping the silver - visored helmet of a space cadet for the green eyeshade of a consummate bean counter	0
strong support	1
still relevant players on the world stage	1
greatest	0
axis of evil	0
does not appear	0
friends	1
despite	0
in turn	0
subverts	0
constitutionally acceptable	1
protagonists of a prospective clash of civilizations	0
protests	0
by fraud	0
is suspected	0
denounced	0
the possibility	1
frustrated	0
wants	1
eradicate	1
had the illusion	0
reckless	0
is sure	0
not up to him to decide who is a captive or who is not a captive	0
to request	1
reassurances	1
one - sided , self - righteous policy	0
could welcome	1
even congratulated	0
as a human being	1
is beginning to work	1
risks	0
called on	1
was tougher	0
warm peace , not a cold peace	0
attempted	0
competent and scrupulously honest	1
claimed	0
incapable	0
not really popular in	0
cages	0
become a major power	1
continues to call for	1
it is not possible to rule out the risk of a breakdown	0
accuses	0
learnt a lesson	1
shameful	0
most atrocious human rights violations	0
expected	1
backdrop of uncertainty	0
killing innocent children and people	0
are waiting anxiously	0
illegitimate	0
personal arrogance	0
weirdness does n't end there	0
groundless	0
if the world has to rid itself	0
abrupt escalation	0
deeper the international crisis , the better	0
fears	0
terrible equation	0
not honest about championing	0
have the illusion	1
backed out	0
scepticism and scorn	0
would have a better idea if	1
unprecedented in the history of the comity of nations	0
gone awry	0
picking a quarrel	0
the support of	1
even sent letters of protest	0
did not even have the goodness	0
under the pretext of security considerations	0
competent	1
is supporting and protecting	1
to reward	1
tough conditions	0
grand strategy	0
briefly appeared to be abating	1
the refusal	0
electoral hijacking	0
satisfied in any way	0
devastatingly sarcastic	0
will intensify	0
axis of evil	0
would violate international standards prohibiting cruel , inhuman or degrading treatment	0
this cruelty	0
am sure	0
calls	0
father of independence	1
goes against the tide	0
begins to bear fruit	1
as bad or worse	0
is promising	1
refusal	0
not be condoned by	0
opposition	0
oh god no	0
accusations	0
assumes the right to interfere	0
not true at all	0
assassinate innocent activists and citizens	0
clear priority	1
object	0
respecting	1
lack of transparency	0
notwithstanding the labyrinth of constitutional provisions loaded against a free and fair election	0
nothing but a mere public relations tool	0
nations that are n't transparent	0
will be substantially reduced	0
have criticised	0
leadership	1
the point	0
will not do or say anything that could damage	1
humane	1
frustration	0
anxiety	0
opposes	0
deserved	1
peace and compromise	1
complains	0
their insistence	1
want	1
is determined	1
promote	1
unclear	0
were now not confusing	0
is likely to prejudice	0
denunciation	0
should earnestly abide	1
formation of good economic neighborhood	1
but	0
largely try to keep as much hegemony	0
congratulated	1
foretaste of resistance	0
was not welcome	0
interfere	0
appear to make it easier to rig the vote	0
charged	0
inconsistent	0
it 's over	1
biggest global problem we are facing today	0
so - far spurned	0
fantasy of a world kingdom	0
wish	1
has been sounding the alarm	0
by applying the pressure cooker effect	0
sillier still	0
reflect negatively	0
relative back up	1
willfulness	1
disapproves	0
come under fire	0
simply	0
claims to support	1
concern	0
disdain and wrath	0
lacks	1
considerable doubt	0
charge	0
appropriateness of antagonizing	0
fundamental freedoms	1
sticking to the polluting policies	0
plan	1
has denied	0
questions can be asked	1
crowded , unventilated tents	0
other so - called civilized nations	0
opposing	0
the approval of	1
plans to kill	0
fiercely waging a fight	0
will erode public 's confidence	0
doubts	0
wants	1
meddling	0
held	0
is consensus	1
pretext	0
was effective especially	1
denunciation	0
call on	1
sit in judgment	0
likening	0
willingness to support	1
killing of a large number of innocent civilians	0
deliberately withholding food	0
the insult to human sensibilities	0
astounded	0
will be rich in promises	1
resolute defender	1
has been accused	0
can ask	1
like when one loses one 's virginity and the only solution is to enter a convent	0
wanted	1
staples of police states	0
refusal to respond	0
the consensus	1
crowding some of them out of existence	0
budget was a disaster	0
severely reduces	0
left no avenue unexplored	1
were supporting	1
dissatisfaction over	0
was meant to punish	0
such fruitful results	1
warning	0
grimly replied	0
virtually nothing	0
labeling	0
faithful to	1
seems content to be back home on the rock playing with his bag of marbles and collecting his parliamentary pension	0
sudden deterioration	0
would surely be higher still	0
disapproval	0
lacks credibility and can not withstand any objective scrutiny	0
without	0
common enemy of all civilized men and women	0
failed experiences	0
it would be madness to hold elections now	0
enemy	0
children in distress	0
spirit of the geneva convention	1
seems to be	1
injustice	0
all the global bellyaching	0
against neo - liberal globalization	0
legitimate	1
set priorities	1
only	0
mount a rebellion	0
difficult	0
the branding	0
swift criticism from	0
had urged	1
axis of evil	0
casting dark clouds	0
flawed	0
readiness to facilitate	1
were characterised by - - among others - - intimidation	0
mainly concerned	0
has accused	0
atrocious conditions	0
comes at a cost	0
increasingly close	0
will not be a game without risks	0
supporters	1
stressing	1
fortunately	1
in danger of removing	0
sought to ease	1
would withstand	1
grand	1
to protest	0
came out in protest	0
that 's ridiculous	0
anthology of rhetorical follies	0
like a boom town	1
could not truly	0
grateful	1
difficult	0
discredits and kills	0
would support	1
kind to the enemy and hard on friends	0
to denounce	0
his anger	0
in admirable harmony	0
immense gulf between	0
particularly disturbed	0
provocations	0
maintains	0
good job , buddy	1
humanely	1
has failed for a decade now	0
violates international agreements	0
support	1
not you , sirs and not the one person in 10 downing st . , tony blair	0
substantially free and fair	1
week that changed the world	1
revolutionary process	1
is wide awake	1
difficulty , of course	0
all by himself	0
israel is one of the us states	0
the will of	1
blatant campaign of violence , intimidation and manipulation	0
pledged	1
all join in	1
nor is the outcome illegitimate merely	0
we look at a bleak future	0
does not reflect	0
deepened	0
appreciates	1
was passionate	1
the cia would organize coups and assassinations to further us interests	0
can bring security and stability to all the parties without exception	1
have shown reluctance	0
thugs	0
is ready to respect	1
adopt concrete measures to stop the conflict	1
concerns	0
needs to discipline	0
even risking his own future	0
free and fair	1
an advocate of nations ' right to choose their leaders	1
comprehensive destructive policy	0
be willing	1
ardent desire	1
deep concern of	0
a tool to advance america 's foreign policy	0
legitimate rejection	0
can jeopardise peace and security , law and order	0
would not accept	0
thankfully	1
will put up with	0
his less illustrious colleagues	0
failed	0
his axis of evil remark	0
spewed out all kinds of vicious remarks	0
scores of	0
abating	1
biggest electoral fraud	0
not look very good	0
to put it mildly	0
was hoping	1
had unanimously adopted	1
frighten	0
we ca n't allow	0
strikingly illustrated	1
destroy	0
axis of evil	0
should not be afraid of persecution	1
have preference for	1
have also criticized	0
despite	0
sap the country 's energy	0
denies	0
hope	1
as have	0
agreement	1
never	0
basically sound	1
caused serious damage	0
unsure	0
in the hope	1
predatory behaviour	0
not in step with	0
openly denounce	0
hurt	0
perception	1
to assassinate innocent activists and citizens	0
serious	0
more intense	0
systematically stealing	0
do swear	1
we can not allow	0
balkanisation	0
favorable opinions	1
runaway	1
would not hurt taiwan 's interests	1
thought	0
raving	0
according	0
rallies for solidarity	1
bellyaching	0
completely supports	1
calls	1
hate	0
that terrible day	0
with a hope	1
improve	1
launched campaigns against	0
is not to have a strategic vision	0
coup farce	0
israeli expansionist plans	0
an ``axis of evil	0
not sufficient	0
without just compensation	0
even more intolerable	0
inappropriate	0
changing and contradicting personality	0
must henceforth become more bearable , especially	1
absolutely inadmissible	0
opposition	0
absolutely impossible	0
is a staunch supporter of	1
rather than a product of comprehensive reasoning	0
undermining the legitimacy	0
do not want to work	0
ridiculously few	0
support	1
strongly called on	1
the absolute right in all cases	1
a great gift	1
picking on	0
had been tipped	1
languages without nuances	0
condemned	0
resorting to verbal quibbling	0
should	1
wanted	1
challenges	0
force	0
denounced and attacked	0
could object	0
risks	0
have refused to recognise	0
would be completely blocked	0
extended an olive branch	1
human rights violations	0
that concessions are sufficiently concrete	1
tarnish	0
can never be just one guilty party	0
very easily lost	0
reticence	0
full support	1
rejection	0
hopes that were raised	1
abuses including torture	0
resisted	0
widespread disgust	0
would be badly damaged	0
patience	1
staged a protest	0
a view	1
an arrogant little fellow	0
is ready to cooperate	1
are feeling	0
confess	0
preferred	1
a coup	0
very frightening	1
do support	1
the interests of	1
works to abort his mission in advance by	0
optimistic and hopeful	1
was so hard on	0
stuck for 18 months on ground zero	0
embody the bankrupt policy of israeli criminal extremism	0
hailed	1
supported	1
a friend	1
attacking	0
refusal	0
pretended	0
has come out in support	1
one of the most unstable	0
worried	0
always likes to dwell on	0
called on	1
are seen	0
surrounded to the point of strangulation	0
reiterated his call for	1
far preferable	1
fear	0
condemnation	0
looked forward	1
have its way with	0
feel at ease	1
explosive	0
seething with anger	0
owing allegiance	1
was seen	0
thus shattering	0
traditions of humane treatment	1
pretend to be	0
it 's a step in the right direction	1
other than that , nothing will count	0
further damage	0
shook	0
hope	1
you face a catastrophe	0
take justice to pre - historic times	0
directly responsible	0
violated	0
feeling	1
wishes	1
enthusiastically	1
denunciation and rejection	0
expressed their satisfaction and support	1
want	1
protests	0
whether	0
condemned	0
favourable comment	1
gain more knowledge	1
demonstrations against	0
greater elaboration	1
because of what they did	0
not that of journalists	0
have been built specifically to terrorize the population	0
was concerned	0
welcomed	1
its support for	1
thwarted	0
the idea	1
criticisms	0
agitated	0
expressed regrets	0
firing indiscriminately	0
have refused to serve	0
ensure the stability	1
objectives	1
settlement has increased considerably	0
by force if necessary	0
is an act of objectionable brutality	0
surged	1
demand	0
use the situation to gain the upper hand	0
how accustomed they are to trickery	0
complaints and inquires	0
as awareness increases	1
it seems doubtful	0
niceties	1
unrealistic	0
grand bargain	1
campaign against	0
only to mislead	0
inability to judge	0
communal flames	0
question	0
the evil empire	0
will have less room to roam	0
peace	1
sided with	1
of instigating the looting to overthrow the government	0
throttling	0
not an acceptable	0
objection	0
lavished	0
welcome	1
will become one of the best elements	1
would be harmed	0
meddling	0
not enough	0
charges of	0
not satisfied the fundamental requirements	0
frustrate	0
break ' the spirit of	0
long been denied	0
difficulties as being insurmountable	0
free and fair	1
will eat up their own vitals	0
take to the streets	0
sent congress a message calling for	1
benefited most	1
that there is a future to be built	1
bear this patiently	1
to seek reconciliation	1
is not sufficient from the viewpoint of economic efficiency	1
it could blossom	1
axed	0
urged	1
the protests	0
rallied around	1
fully respected	1
jeopardizing	0
quite valid	1
hardly convincing	0
fodder	0
recognizes	1
are scared	0
position and particular stance opposed to	0
surge	0
the support	1
were in a foul mood	0
every possible effort	1
invisible	0
attack	0
chooses to disregard	0
doubly difficult	0
pursue	0
only	0
could lead to an opening	1
axis of evil remark	0
worrisome	0
a significant and successful strike	1
a hometown favourite	1
upgrade its competitiveness	1
the us was the only judge of what was reasonable	0
hoped	1
we also owe those in uniform the resources they need to maintain a very high state of readiness	1
better cared for	1
terror	0
congratulatory message	1
did not endorse	0
voices critical	0
shown no inclination	0
think	0
serious criticism was made	0
supposedly model democracy like the usa can trample on the law to such an extent	0
main cheating	0
indoctrination	0
hallucination	0
even went so far	0
if you 're not with us , you 're against us	0
continue to urge	1
brutally	0
has disallowed	0
disavowed	0
has become tense again	0
lapsing back into the grim years	0
deceptive ploys	0
backing	1
responsible	1
manner that is reasonably consistent	1
illegally	0
deliberately misinterpreted to suppress the opposition	0
hopes	1
ominous sign	0
systematically subverted	0
to the liking of	1
growing public interest	1
as punishment for not voting the correct way	0
breaking their limbs	0
the arrows	0
believe	1
mere positioning	0
twists and turns	0
loudly celebrating	1
sentiments	0
very likely continue to lose our edge	0
refusal	0
was concerned	0
deteriorating with each passing day	0
is but a signboard used by the united states	0
nevertheless	0
stand - off	0
towers over afghanistan	1
looking nervously over	0
due to those who stand in the way of the settlement	0
regarded	0
not profitable but costly	0
kill	0
honest	1
collective illusion	0
accused	0
his favourite newfie	0
in particular	0
club fed	0
speak ill	0
was mistreating its hostages	0
unnecessary	0
imbibed them amidst the safety and leisure	0
continued	0
legitimacy	1
aggressively harping	0
enjoying hygienic and food conditions that were very superior to what they could have known in afghanistan	1
to the president 's misfortune	0
press ahead	1
may not be feasible	0
m feeling much better	1
is still taking the cool approach	0
have joined the opposition in alleging	0
will have all sorts of misgivings	0
troublemakers	0
to peace and stability	1
disagreement with	0
are n't even allowed	0
loss of innocent lives	0
being harmed	0
rejection	0
declining support for	0
military morale is at stake	0
could understand	0
controlling the world of politics globally	0
damn yankees	0
more are on the way	0
the base of evil	0
support	1
needlessly	0
is not a good neighborly field	0
stand firm	1
consequences	0
not completely reliable	0
were wrenching	0
facts are incorrect	0
perception	0
fiendish - looking	0
do n't trust	0
have been growing less visionary	0
did not support	0
may not be a correct basis	0
commitment and respect	1
hope	1
advises	1
grateful	1
axis of evil	0
fraud	0
good treatment	1
complicates any situation	0
narrow	0
so - called	0
spoke arrogantly , humiliatingly , aggressively	0
warned	0
manichaean	0
shoot the man out of office	0
which stood in the way of honest negotiations	0
support	1
appeal	1
turning a blind eye	0
thanks to gains	1
allegations	0
extremely strong support	1
publicity stunt	0
is determined to pursue	1
crush	0
pot calling the kettle black	0
widespread condemnation and objection	0
illegitimate	0
developing weapons of mass destruction	0
agreed	1
will undoubtedly rub off	0
gives priority	1
must no longer be encysted	0
seeks	1
harsh criticism	0
will complain	0
warned	0
cultural preference	1
would remake venezuela to benefit the poor	1
charges being leveled	0
made a mistake	0
interests	1
requires a strong leader	1
merely	0
weak	0
has fallen on stones	0
was a gift	1
urged	1
violent protests	0
